,,List Price,Address,City,Beds/Baths,Approx Living Area,DOM,Sold Price,Sold Date
,,"$425,999.00",14872 REDBUD LN,PUNTA GORDA,2+Den/2(1),"1,850",13,"$40,000.00",11/24/23
,,"$55,000.00",327 BALBOA AVE,FORT MYERS,3 Bed/1(0),951,1,"$57,000.00",08/21/23
,,"$578,000.00",3525 68TH AVE NE,NAPLES,3+Den/2(1),"2,160",48,"$57,500.00",10/25/23
,,"$80,000.00",64 OAK ST,NORTH FORT MYERS,3 Bed/2(0),"1,184",6,"$60,000.00",10/16/23
,,"$70,000.00",19681 SUMMERLIN RD #180,FORT MYERS,0 Bed/0(0),845,9,"$64,000.00",09/20/23
,,"$175,000.00",4808 MYERS RD,IMMOKALEE,4 Bed/2(0),"1,376",0,"$70,000.00",08/10/23
,,"$77,000.00",315 BUENA VISTA BLVD,FORT MYERS,2 Bed/1(0),649,24,"$78,110.00",09/27/23
,,"$94,900.00",3002 36TH ST W,LEHIGH ACRES,3 Bed/2(0),"1,843",6,"$85,000.00",11/06/23
,,"$87,500.00",828 REDISH CIR,CLEWISTON,3 Bed/2(0),924,1,"$90,000.00",11/03/23
,,"$109,000.00",210 DELRAY AVE,FORT MYERS,1 Bed/1(0),800,4,"$90,000.00",10/24/23
,,"$100,700.00",910 HARLEM ACADEMY AVE,CLEWISTON,3 Bed/1(0),"1,000",42,"$95,000.00",08/16/23
,,"$112,300.00",2012 WRIGHT ST,FORT MYERS,6 or More/2(0),"1,595",32,"$95,000.00",08/25/23
,,"$109,900.00",12120 PALM DR,FORT MYERS,2 Bed/2(0),"1,408",43,"$99,000.00",10/26/23
,,"$109,900.00",2880 N 2ND ST,NORTH FORT MYERS,3 Bed/3(0),"2,082",0,"$100,000.00",11/14/23
,,"$100,000.00",3508 4TH ST SW,LEHIGH ACRES,4 Bed/2(0),"1,512",0,"$105,000.00",09/12/23
,,"$105,000.00",1056 KINDLY RD,NORTH FORT MYERS,3 Bed/2(0),"1,242",--,"$105,000.00",07/18/23
,,"$200,000.00",3215 SW 1ST PL,CAPE CORAL,3 Bed/2(0),"1,509",0,"$110,000.00",12/19/23
,,"$215,000.00",3907 20TH ST SW,LEHIGH ACRES,5 Bed/2(0),"1,459",9,"$110,000.00",12/14/23
,,"$79,900.00",440 LONG AVE S,LEHIGH ACRES,3 Bed/2(0),"1,502",5,"$110,000.00",12/06/23
,,"$119,000.00",685 AVENUE B NW,MOORE HAVEN,3 Bed/2(0),"1,048",33,"$110,000.00",09/17/23
,,"$119,400.00",3217 CRESTWOOD DR,PORT CHARLOTTE,2 Bed/2(0),889,2,"$110,000.00",07/24/23
,,"$130,000.00",25068 HARBORVIEW RD N #1B,PUNTA GORDA,2 Bed/2(0),956,58,"$115,000.00",12/01/23
