,,List Price,Address,City,Beds/Baths,Approx Living Area,DOM,Sold Price,Sold Date
,,"$49,900.00",1145 LAUREL DR,NORTH FORT MYERS,2 Bed/1(0),752,14,"$49,900.00",11/18/21
,,"$65,000.00",8338 MCDANIEL DR,NORTH FORT MYERS,2 Bed/2(0),960,3,"$65,000.00",10/22/21
,,"$88,000.00",249 GRANADA BLVD,FORT MYERS,2 Bed/1(0),560,14,"$76,000.00",10/01/21
,,"$89,900.00",3934 MADISON AVE,FORT MYERS,2 Bed/1(0),"1,038",2,"$82,900.00",11/04/21
,,"$80,000.00",4112 2ND ST W,LEHIGH ACRES,3 Bed/2(0),"1,514",0,"$83,000.00",12/29/21
,,"$95,000.00",1939 N PINE DR,FORT MYERS,2 Bed/1(0),616,11,"$85,000.00",12/13/21
,,"$75,000.00",564 CLARK ST,NORTH FORT MYERS,2 Bed/1(0),836,3,"$85,000.00",12/03/21
,,"$89,900.00",530 BLOSSOM CT,NORTH FORT MYERS,2 Bed/1(0),720,2,"$85,000.00",11/12/21
,,"$110,000.00",504 5TH AVE,LEHIGH ACRES,3 Bed/2(0),"1,332",0,"$95,000.00",10/29/21
,,"$99,000.00",229 AVENUE H NW,MOORE HAVEN,3 Bed/1(0),783,0,"$96,000.00",10/13/21
,,"$99,900.00",205 MANOR PKY,FORT MYERS,2 Bed/1(0),782,--,"$99,900.00",07/30/21
,,"$95,000.00",1826 DELAWARE AVE,FORT MYERS,3 Bed/2(0),"1,344",8,"$100,000.00",11/17/21
,,"$114,900.00",1121 WESLEY ST W,LEHIGH ACRES,1 Bed/1(0),644,36,"$100,000.00",11/01/21
,,"$82,900.00",3539 CENTRAL AVE,FORT MYERS,2 Bed/1(0),893,16,"$106,575.00",11/02/21
,,"$115,000.00",11337 MEADOW LN,BONITA SPRINGS,2 Bed/2(0),723,0,"$110,000.00",11/24/21
,,"$125,000.00",1868 HIGH ST,FORT MYERS,2 Bed/1(0),936,4,"$115,000.00",11/16/21
,,"$155,000.00",813 VAN BUREN ST,FORT MYERS,2+Den/1(0),940,44,"$115,000.00",12/29/21
,,"$125,000.00",250 POE AVE,NORTH FORT MYERS,2 Bed/1(0),640,15,"$115,000.00",10/28/21
,,"$139,900.00",1173 BISCAYNE DR,CAPE CORAL,2 Bed/1(0),768,11,"$117,000.00",12/01/21
,,"$119,000.00",432 REDLIN ST,NORTH FORT MYERS,2 Bed/1(1),648,0,"$119,000.00",11/02/21
,,"$121,700.00",343 HORIZON BLVD,NORTH FORT MYERS,2 Bed/2(0),"1,144",6,"$121,700.00",11/04/21
,,"$129,000.00",3762 DESOTO AVE,FORT MYERS,2 Bed/1(0),"1,016",15,"$122,500.00",11/19/21
,,"$129,500.00",3136 SAINT CHARLES ST,FORT MYERS,3 Bed/2(0),"1,050",9,"$123,000.00",11/09/21
,,"$125,000.00",1761 PALMDALE CT,FORT MYERS,3 Bed/1(0),"1,084",--,"$125,000.00",10/05/21
,,"$139,000.00",1654 GRACE AVE,FORT MYERS,3 Bed/1(0),"1,028",0,"$125,000.00",10/18/21
,,"$149,900.00",5082 BILLYS CREEK DR,FORT MYERS,3 Bed/2(0),"1,256",3,"$125,000.00",10/21/21
,,"$125,000.00",19681 SUMMERLIN RD #626,FORT MYERS,1 Bed/1(0),483,0,"$125,000.00",10/22/21
,,"$130,000.00",322 NEW YORK DR,FORT MYERS,3 Bed/2(0),995,5,"$125,000.00",12/03/21
,,"$125,000.00",171 AVENUE M SW,MOORE HAVEN,3 Bed/1(0),"1,144",4,"$125,000.00",11/24/21
,,"$119,900.00",1110 WESLEY ST W,LEHIGH ACRES,1 Bed/1(0),865,4,"$125,400.00",10/19/21
,,"$126,500.00",17411 REWIS RD,ALVA,1 Bed/1(0),769,0,"$126,000.00",12/28/21
,,"$139,900.00",2407 MAPLE AVE,FORT MYERS,3 Bed/1(0),828,20,"$129,000.00",10/14/21
,,"$129,500.00",25068 HARBORVIEW RD #1A,PORT CHARLOTTE,2 Bed/2(0),956,4,"$129,500.00",10/01/21
,,"$130,000.00",1004 JOHNSON RD,CLEWISTON,2 Bed/1(0),832,24,"$130,000.00",12/08/21
,,"$135,000.00",4505 LUCKETT RD,FORT MYERS,3 Bed/2(0),"1,225",17,"$130,000.00",12/13/21
,,"$120,000.00",2019 MARAVILLA CIR,FORT MYERS,2+Den/1(0),929,3,"$130,000.00",09/28/21
,,"$139,900.00",3205 40TH ST SW,LEHIGH ACRES,4 Bed/2(0),"1,152",4,"$131,000.00",11/04/21
,,"$133,000.00",3967 SQUIRREL HILL CT,FORT MYERS,3 Bed/1(0),920,2,"$133,000.00",11/05/21
,,"$125,500.00",1210 BISCAYNE DR,CAPE CORAL,3 Bed/1(0),"1,316",11,"$133,350.00",09/14/21
,,"$135,000.00",3053 MICHIGAN AVE,FORT MYERS,3 Bed/2(0),"1,346",0,"$135,000.00",10/26/21
,,"$125,000.00",469 MISSISSIPPI AVE,FORT MYERS,3 Bed/1(0),"1,200",2,"$135,000.00",09/16/21
,,"$144,900.00",2828 CENTRAL AVE,FORT MYERS,2 Bed/1(0),884,32,"$139,000.00",11/01/21
